position_id,chain,protocol,wallet,position_label,category,position_type,token_symbol,token_contract,balance_human,price_usd,price_source,value_usd,block_number,block_timestamp_utc,notes,run_timestamp_cet
ethereum_morpho_0xa33e1f_syrupUSDC_D_collateral,ethereum,morpho,0xa33e1f748754d2d624638ab335100d92fcbe62a2,syrupUSDC / AUSD,D,collateral,syrupUSDC,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,483000,1.15707136,pyth,558865.46688000,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_morpho_0xa33e1f_AUSD_D_debt,ethereum,morpho,0xa33e1f748754d2d624638ab335100d92fcbe62a2,syrupUSDC / AUSD,D,debt,AUSD,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,-450761.286969,1,par,-450761.286969,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_morpho_0xa33e1f_syrupUSDC_D_collateral,ethereum,morpho,0xa33e1f748754d2d624638ab335100d92fcbe62a2,syrupUSDC / RLUSD,D,collateral,syrupUSDC,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,267000,1.15707136,pyth,308938.05312000,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_morpho_0xa33e1f_RLUSD_D_debt,ethereum,morpho,0xa33e1f748754d2d624638ab335100d92fcbe62a2,syrupUSDC / RLUSD,D,debt,RLUSD,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,-250364.282179200806064564,1.00,par,-250364.28217920080606456400,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_morpho_vaults_0xa33e1f_steakhouse_reservoir_usdc_A1_vault_share,ethereum,morpho_vaults,0xa33e1f748754d2d624638ab335100d92fcbe62a2,Steakhouse Reservoir USDC,A1,vault_share,steakhouse_reservoir_usdc,0xBEeFF047C03714965a54b671A37C18beF6b96210,79555.010974,1,par,79555.010974,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_morpho_vaults_0xa33e1f_steakhouse_usdt_A1_vault_share,ethereum,morpho_vaults,0xa33e1f748754d2d624638ab335100d92fcbe62a2,Steakhouse USDT,A1,vault_share,steakhouse_usdt,0xbEef047a543E45807105E51A8BBEFCc5950fcfBa,2221418.41043,1,par,2221418.41043,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_midas_0xa33e1f_mF-ONE_A2_oracle_priced,ethereum,midas,0xa33e1f748754d2d624638ab335100d92fcbe62a2,Midas Fasanara ONE,A2,oracle_priced,mF-ONE,0x238a700eD6165261Cf8b2e544ba797BC11e466Ba,3854587.785568057668851839,1.07017268,chainlink,4125074.540776633597869725066,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_uniswap_v4_0xa33e1f_UNI-V4-142965_C_lp_position,ethereum,uniswap_v4,0xa33e1f748754d2d624638ab335100d92fcbe62a2,Uniswap V4 USDC/DUSD #142965,C,lp_position,UNI-V4-142965,0xbD216513d74C8cf14cf4747E6AaA6420FF64ee9e,356116610425413,0,price_not_found_UNI-V4-142965,0,24750136,27/03/2026 16:37:35,Concentrated liquidity USDC/DUSD 0.01% fee. Range 0.95-0.9999. ~$9 per 1Token snapshots.,27/03/2026 17:37:39
ethereum_ethena_0xa33e1f_USDe_E_token_balance,ethereum,ethena,0xa33e1f748754d2d624638ab335100d92fcbe62a2,Ethena sUSDe Cooldown,E,token_balance,USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,9.990016574117155984,0.999197,coingecko,9.981994590808139907744848,24750136,27/03/2026 16:37:35,Pending unstake from sUSDe. Cooldown ended 2026-01-22 10:23:47+00:00. Claimable.,27/03/2026 17:37:39
ethereum_gauntlet_pareto_0x0c1644_gpAAFalconX_A3_manual_accrual,ethereum,gauntlet_pareto,0x0c1644d7af63df4a3b15423dbe04a1927c00a4f4,Gauntlet FalconX Vault,A3,manual_accrual,gpAAFalconX,0x00000000d8f3d6c5DFeB2D2b5ED2276095f3aF44,2507114.784522306614970702,1,a3_workbook_accrual,2694304.1662784945,24750136,27/03/2026 16:37:35,"Value from outputs/falconx_position.xlsx Gauntlet_LeveredX col R (Veris share). TP on-chain is cross-reference only (stale, not used for valuation).",27/03/2026 17:37:39
